1403636860651666432,0.06426,-0.00616,0.08086,-0.36352,0.63359,0.57460,0.36913,0.00954,-0.05410,-0.30148,-0.00327,0.02184,0.07654,-0.04047,0.00961,-0.02226,
1403636860751666432,0.06458,-0.01080,0.06149,-0.36059,0.63211,0.57937,0.36708,0.00980,-0.03677,-0.07815,-0.00322,0.02192,0.07656,-0.03447,0.00683,0.00211,
1403636860851666432,0.06466,-0.01394,0.06732,-0.35484,0.62937,0.58300,0.37161,0.00579,-0.01063,0.18889,-0.00311,0.02209,0.07661,-0.02574,-0.01809,0.03478,
1403636860951666688,0.06483,-0.01384,0.10002,-0.35135,0.62792,0.58573,0.37308,0.00237,0.01597,0.44101,-0.00297,0.02220,0.07662,-0.00909,-0.04171,0.08416,
1403636861051666432,0.06523,-0.01124,0.15261,-0.35408,0.62452,0.58225,0.38154,0.00697,0.04332,0.58388,-0.00290,0.02221,0.07665,-0.01452,-0.07043,0.07263,
1403636861151666432,0.06609,-0.00697,0.21390,-0.36415,0.61727,0.57421,0.39581,0.01929,0.05402,0.62578,-0.00285,0.02235,0.07684,-0.02519,-0.08214,0.04526,
1403636861251666432,0.06730,-0.00319,0.27701,-0.37687,0.60644,0.56440,0.41432,0.01603,0.03460,0.62454,-0.00280,0.02247,0.07713,-0.04056,-0.09997,0.00398,
1403636861351666432,0.06896,-0.00135,0.33513,-0.38947,0.59769,0.55312,0.43026,0.02674,0.01424,0.51121,-0.00281,0.02247,0.07736,-0.05445,-0.11789,-0.03122,
1403636861451666688,0.07147,0.00035,0.37492,-0.39872,0.59227,0.54508,0.43947,0.02460,0.00956,0.24930,-0.00282,0.02242,0.07750,-0.05225,-0.11293,-0.02322,
1403636861551666432,0.07431,0.00230,0.38323,-0.40115,0.59059,0.54254,0.44264,0.02539,0.01079,-0.09303,-0.00284,0.02237,0.07764,-0.04553,-0.10161,-0.00313,
1403636861651666432,0.07695,0.00344,0.35837,-0.39840,0.59381,0.54589,0.43665,0.01098,0.00520,-0.39091,-0.00287,0.02233,0.07760,-0.04389,-0.09691,0.00398,
1403636861751666432,0.07813,0.00374,0.31049,-0.39298,0.59774,0.55233,0.42803,0.00151,-0.01376,-0.53250,-0.00287,0.02233,0.07757,-0.04201,-0.09252,0.00902,
1403636861851666432,0.07748,0.00185,0.25478,-0.38760,0.60127,0.55903,0.41921,-0.02923,-0.03581,-0.57707,-0.00282,0.02243,0.07760,-0.03999,-0.08691,0.01558,
1403636861951666688,0.07433,-0.00093,0.19615,-0.38140,0.60807,0.56690,0.40424,-0.04086,-0.03375,-0.58868,-0.00274,0.02243,0.07764,-0.03668,-0.07855,0.02234,
1403636862051666432,0.07016,-0.00531,0.13952,-0.37289,0.61823,0.57306,0.38774,-0.04934,-0.03969,-0.52245,-0.00272,0.02235,0.07762,-0.02796,-0.08198,0.04294,
1403636862151666432,0.06553,-0.00824,0.09194,-0.36910,0.62461,0.57586,0.37686,-0.03185,-0.02428,-0.38943,-0.00271,0.02234,0.07758,-0.02501,-0.08147,0.04408,
1403636862251666432,0.06365,-0.01114,0.06486,-0.36326,0.62448,0.58233,0.37277,-0.00506,-0.02273,-0.13267,-0.00268,0.02234,0.07749,-0.01950,-0.07576,0.05670,
1403636862351666432,0.06360,-0.01238,0.06814,-0.35623,0.62420,0.58844,0.37043,0.00259,0.00669,0.20528,-0.00268,0.02236,0.07735,-0.02120,-0.07562,0.05442,
1403636862451666688,0.06391,-0.01169,0.10417,-0.35555,0.62423,0.58972,0.36899,0.00688,0.01965,0.48245,-0.00266,0.02233,0.07728,-0.01986,-0.07850,0.06029,
1403636862551666432,0.06585,-0.00778,0.15997,-0.35653,0.62134,0.58626,0.37830,0.03562,0.06109,0.62093,-0.00268,0.02235,0.07729,-0.02221,-0.07715,0.05446,
1403636862651666432,0.06912,-0.00169,0.22578,-0.35617,0.61663,0.58045,0.39495,0.01824,0.05935,0.67743,-0.00263,0.02241,0.07734,-0.02228,-0.07058,0.05400,
1403636862751666432,0.06937,0.00364,0.29454,-0.36254,0.61427,0.57234,0.40455,-0.00561,0.05230,0.68150,-0.00261,0.02239,0.07742,-0.02191,-0.06761,0.05518,
1403636862851666432,0.06927,0.00801,0.36236,-0.36723,0.61681,0.56429,0.40776,-0.00859,0.02668,0.64766,-0.00259,0.02235,0.07751,-0.02226,-0.06805,0.05439,
1403636862951666688,0.06850,0.00860,0.41982,-0.37486,0.61782,0.55640,0.41011,-0.01108,-0.00791,0.44741,-0.00255,0.02234,0.07760,-0.02328,-0.06681,0.05214,
1403636863051666432,0.06909,0.00572,0.44667,-0.38218,0.61068,0.55365,0.41771,0.01679,-0.01161,0.09090,-0.00252,0.02235,0.07768,-0.03370,-0.06003,0.02491,
1403636863151666432,0.07162,0.00284,0.43761,-0.38426,0.60089,0.55483,0.42830,0.01029,-0.00670,-0.25740,-0.00252,0.02241,0.07774,-0.05813,-0.03341,-0.03691,
1403636863251666432,0.07233,0.00245,0.39743,-0.38092,0.59764,0.55833,0.43128,0.00593,-0.00499,-0.53279,-0.00255,0.02239,0.07768,-0.06209,-0.02450,-0.04608,
1403636863351666432,0.07260,0.00242,0.33751,-0.37524,0.59753,0.56101,0.43291,0.01684,0.00114,-0.64403,-0.00259,0.02236,0.07761,-0.06367,-0.02161,-0.04980,
1403636863451666688,0.07313,0.00198,0.27168,-0.37021,0.60038,0.56128,0.43296,-0.00094,-0.01187,-0.68877,-0.00266,0.02232,0.07757,-0.07056,-0.01360,-0.06631,
1403636863551666432,0.07217,-0.00066,0.20185,-0.37089,0.60791,0.56269,0.41985,-0.01594,-0.04585,-0.68213,-0.00268,0.02228,0.07751,-0.07286,-0.00505,-0.07279,
